timestamp,frame,ego_speed,ego_acceleration,ego_jerk,ego_pos_x,ego_pos_y,ego_yaw,lead_pos_x,lead_pos_y,lead_yaw,lead_speed,lead_acceleration,lead_target_speed,distance_headway,time_headway,relative_speed,ttc,throttle,brake,steer,longitudinal_control,control_mode,gear,lead_behavior_mode
0.0117,0,18.5851,-0.2097,0.0,-5.94,-95.93,89.78,-5.75,-48.41,89.78,18.7186,-0.0771,19.78,43.03,2.32,-0.1335,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.034,1,18.5746,-0.2095,0.0069,-5.94,-95.0,89.78,-5.75,-47.48,89.78,18.7135,-0.1017,19.76,43.04,2.32,-0.1389,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.067,2,18.5641,-0.2094,0.0046,-5.93,-94.08,89.78,-5.74,-46.54,89.78,18.7073,-0.1242,19.74,43.05,2.32,-0.1432,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.1097,3,18.5537,-0.2092,0.0054,-5.93,-93.15,89.78,-5.74,-45.61,89.78,18.7001,-0.1448,19.72,43.06,2.32,-0.1464,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.133,4,18.5432,-0.209,0.0049,-5.92,-92.22,89.78,-5.74,-44.67,89.78,18.6919,-0.1635,19.7,43.06,2.32,-0.1487,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.1745,5,18.5328,-0.2089,0.0046,-5.92,-91.29,89.78,-5.73,-43.74,89.78,18.6829,-0.1805,19.68,43.07,2.32,-0.1501,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.199,6,18.5224,-0.2087,0.0062,-5.92,-90.37,89.78,-5.73,-42.8,89.78,18.6733,-0.1925,19.68,43.08,2.33,-0.1509,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.232,7,18.5119,-0.2085,0.0058,-5.91,-89.44,89.78,-5.73,-41.87,89.78,18.6631,-0.2035,19.64,43.09,2.33,-0.1511,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.2677,8,18.5015,-0.2084,0.0032,-5.91,-88.52,89.78,-5.72,-40.94,89.78,18.6522,-0.2185,19.62,43.09,2.33,-0.1506,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.3046,9,18.4911,-0.2082,0.0052,-5.91,-87.59,89.78,-5.72,-40.01,89.78,18.6406,-0.2317,19.6,43.1,2.33,-0.1495,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.331,10,18.4807,-0.2081,0.0043,-5.9,-86.67,89.78,-5.71,-39.07,89.78,18.6284,-0.2433,19.58,43.11,2.33,-0.1477,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.3716,11,18.4703,-0.2079,0.0056,-5.9,-85.74,89.78,-5.71,-38.14,89.78,18.6157,-0.2536,19.56,43.12,2.33,-0.1454,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
0.397,12,18.4599,-0.2077,0.006,-5.9,-84.82,89.78,-5.71,-37.21,89.78,18.6026,-0.2628,19.54,43.12,2.34,-0.1427,999.0,0.0,0.0,0.0,0.0,manual,0,fixed
